,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,data
0,100,10,1,1,16,0.9,1,0.1,0.985,0.0005,-291420.7,initial_data
1,100,10,1,1,16,0.9,1,0.1,0.985,0.001,-293476.6,initial_data
2,100,10,1,1,16,0.9,1,0.1,0.995,0.0005,-300666.9,initial_data
3,100,10,1,1,16,0.9,1,0.1,0.995,0.001,-290977.2,initial_data
4,100,10,1,1,16,0.9,1,0.001,0.985,0.0005,-289282.6,initial_data
5,100,10,1,1,16,0.9,1,0.001,0.985,0.001,-307431.0,initial_data
6,100,10,1,1,16,0.9,1,0.001,0.995,0.0005,-306961.2,initial_data
7,100,10,1,1,16,0.9,1,0.001,0.995,0.001,-289653.8,initial_data
8,100,10,1,1,16,0.9,0.5,0.1,0.985,0.0005,-379827.5,initial_data
9,100,10,1,1,16,0.9,0.5,0.1,0.985,0.001,-291056.6,initial_data
10,100,10,1,1,16,0.9,0.5,0.1,0.995,0.0005,-298388.4,initial_data
11,100,10,1,1,16,0.9,0.5,0.1,0.995,0.001,-292673.2,initial_data
12,100,10,1,1,16,0.9,0.5,0.001,0.985,0.0005,-289451.4,initial_data
13,100,10,1,1,16,0.9,0.5,0.001,0.985,0.001,-288158.0,initial_data
14,100,10,1,1,16,0.9,0.5,0.001,0.995,0.0005,-323396.9,initial_data
15,100,10,1,1,16,0.9,0.5,0.001,0.995,0.001,-323977.0,initial_data
16,100,10,1,1,16,0.95,1,0.1,0.985,0.0005,-318701.9,initial_data
17,100,10,1,1,16,0.95,1,0.1,0.985,0.001,-304403.0,initial_data
18,100,10,1,1,16,0.95,1,0.1,0.995,0.0005,-265321.4,initial_data
19,100,10,1,1,16,0.95,1,0.1,0.995,0.001,-290029.8,initial_data
20,100,10,1,1,16,0.95,1,0.001,0.985,0.0005,-279902.4,initial_data
21,100,10,1,1,16,0.95,1,0.001,0.985,0.001,-330593.8,initial_data
22,100,10,1,1,16,0.95,1,0.001,0.995,0.0005,-284054.69999999995,initial_data
23,100,10,1,1,16,0.95,1,0.001,0.995,0.001,-323764.80000000005,initial_data
24,100,10,1,1,16,0.95,0.5,0.1,0.985,0.0005,-358394.1,initial_data
25,100,10,1,1,16,0.95,0.5,0.1,0.985,0.001,-273627.4,initial_data
26,100,10,1,1,16,0.95,0.5,0.1,0.995,0.0005,-270085.9,initial_data
27,100,10,1,1,16,0.95,0.5,0.1,0.995,0.001,-274207.7,initial_data
28,100,10,1,1,16,0.95,0.5,0.001,0.985,0.0005,-316330.7,initial_data
29,100,10,1,1,16,0.95,0.5,0.001,0.985,0.001,-298055.2,initial_data
30,100,10,1,1,16,0.95,0.5,0.001,0.995,0.0005,-321834.19999999995,initial_data
31,100,10,1,1,16,0.95,0.5,0.001,0.995,0.001,-287385.6,initial_data
32,100,10,1,1,16,0.99,1,0.1,0.985,0.0005,-260827.30000000002,initial_data
33,100,10,1,1,16,0.99,1,0.1,0.985,0.001,-365992.0,initial_data
34,100,10,1,1,16,0.99,1,0.1,0.995,0.0005,-320692.9,initial_data
35,100,10,1,1,16,0.99,1,0.1,0.995,0.001,-293840.9,initial_data
36,100,10,1,1,16,0.99,1,0.001,0.985,0.0005,-356510.5,initial_data
37,100,10,1,1,16,0.99,1,0.001,0.985,0.001,-354524.3,initial_data
38,100,10,1,1,16,0.99,1,0.001,0.995,0.0005,-295909.2,initial_data
39,100,10,1,1,16,0.99,1,0.001,0.995,0.001,-315751.7,initial_data
40,100,10,1,1,16,0.99,0.5,0.1,0.985,0.0005,-323184.1,initial_data
41,100,10,1,1,16,0.99,0.5,0.1,0.985,0.001,-273320.4,initial_data
