,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
0,100,10,1,1,16,0.9,1,0.1,0.985,0.0005,-232999,"   Woman  Man
0      1    8"
1,100,10,1,1,16,0.9,1,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
2,100,10,1,1,16,0.9,1,0.1,0.995,0.0005,-224459,"   Woman  Man
0      2    7"
3,100,10,1,1,16,0.9,1,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
4,100,10,1,1,16,0.9,1,0.001,0.985,0.0005,-211399,"   Woman  Man
0      1    8"
5,100,10,1,1,16,0.9,1,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
6,100,10,1,1,16,0.9,1,0.001,0.995,0.0005,-219775,"   Woman  Man
0      2    7"
7,100,10,1,1,16,0.9,1,0.001,0.995,0.001,-214999,"   Woman  Man
0      1    8"
8,100,10,1,1,16,0.9,0.5,0.1,0.985,0.0005,-240069,"   Woman  Man
0      1    8"
9,100,10,1,1,16,0.9,0.5,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
10,100,10,1,1,16,0.9,0.5,0.1,0.995,0.0005,-219847,"   Woman  Man
0      1    8"
11,100,10,1,1,16,0.9,0.5,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
12,100,10,1,1,16,0.9,0.5,0.001,0.985,0.0005,-292316,"   Woman  Man
0      1    8"
13,100,10,1,1,16,0.9,0.5,0.001,0.985,0.001,-214999,"   Woman  Man
0      1    8"
14,100,10,1,1,16,0.9,0.5,0.001,0.995,0.0005,-204513,"   Woman  Man
0      1    8"
15,100,10,1,1,16,0.9,0.5,0.001,0.995,0.001,-214999,"   Woman  Man
0      1    8"
16,100,10,1,1,16,0.95,1,0.1,0.985,0.0005,-226499,"   Woman  Man
0      2    7"
17,100,10,1,1,16,0.95,1,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
18,100,10,1,1,16,0.95,1,0.1,0.995,0.0005,-211399,"   Woman  Man
0      1    8"
19,100,10,1,1,16,0.95,1,0.1,0.995,0.001,-275578,"   Woman  Man
0      1    8"
20,100,10,1,1,16,0.95,1,0.001,0.985,0.0005,-243321,"   Woman  Man
0      0    9"
21,100,10,1,1,16,0.95,1,0.001,0.985,0.001,-213123,"   Woman  Man
0      1    8"
22,100,10,1,1,16,0.95,1,0.001,0.995,0.0005,-211399,"   Woman  Man
0      1    8"
23,100,10,1,1,16,0.95,1,0.001,0.995,0.001,-240498,"   Woman  Man
0      1    8"
24,100,10,1,1,16,0.95,0.5,0.1,0.985,0.0005,-211399,"   Woman  Man
0      1    8"
25,100,10,1,1,16,0.95,0.5,0.1,0.985,0.001,-219847,"   Woman  Man
0      1    8"
26,100,10,1,1,16,0.95,0.5,0.1,0.995,0.0005,-204513,"   Woman  Man
0      1    8"
27,100,10,1,1,16,0.95,0.5,0.1,0.995,0.001,-204513,"   Woman  Man
0      1    8"
28,100,10,1,1,16,0.95,0.5,0.001,0.985,0.0005,-285908,"   Woman  Man
0      1    8"
29,100,10,1,1,16,0.95,0.5,0.001,0.985,0.001,-214999,"   Woman  Man
0      1    8"
30,100,10,1,1,16,0.95,0.5,0.001,0.995,0.0005,-204513,"   Woman  Man
0      1    8"
31,100,10,1,1,16,0.95,0.5,0.001,0.995,0.001,-208075,"   Woman  Man
0      1    8"
32,100,10,1,1,16,0.99,1,0.1,0.985,0.0005,-226499,"   Woman  Man
0      2    7"
33,100,10,1,1,16,0.99,1,0.1,0.985,0.001,-223999,"   Woman  Man
0      2    7"
34,100,10,1,1,16,0.99,1,0.1,0.995,0.0005,-222169,"   Woman  Man
0      2    7"
35,100,10,1,1,16,0.99,1,0.1,0.995,0.001,-232050,"   Woman  Man
0      1    8"
36,100,10,1,1,16,0.99,1,0.001,0.985,0.0005,-211399,"   Woman  Man
0      1    8"
37,100,10,1,1,16,0.99,1,0.001,0.985,0.001,-225126,"   Woman  Man
0      1    8"
38,100,10,1,1,16,0.99,1,0.001,0.995,0.0005,-211399,"   Woman  Man
0      1    8"
39,100,10,1,1,16,0.99,1,0.001,0.995,0.001,-232050,"   Woman  Man
0      1    8"
40,100,10,1,1,16,0.99,0.5,0.1,0.985,0.0005,-204513,"   Woman  Man
0      1    8"
41,100,10,1,1,16,0.99,0.5,0.1,0.985,0.001,-219847,"   Woman  Man
0      1    8"
42,100,10,1,1,16,0.99,0.5,0.1,0.995,0.0005,-310907,"   Woman  Man
0      2    7"
43,100,10,1,1,16,0.99,0.5,0.1,0.995,0.001,-208075,"   Woman  Man
0      1    8"
44,100,10,1,1,16,0.99,0.5,0.001,0.985,0.0005,-353422,"   Woman  Man
0      2    7"
45,100,10,1,1,16,0.99,0.5,0.001,0.985,0.001,-220399,"   Woman  Man
0      2    7"
46,100,10,1,1,16,0.99,0.5,0.001,0.995,0.0005,-333408,"   Woman  Man
0      1    8"
47,100,10,1,1,16,0.99,0.5,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
48,100,10,1,1,32,0.9,1,0.1,0.985,0.0005,-219847,"   Woman  Man
0      1    8"
49,100,10,1,1,32,0.9,1,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
50,100,10,1,1,32,0.9,1,0.1,0.995,0.0005,-211399,"   Woman  Man
0      1    8"
51,100,10,1,1,32,0.9,1,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
52,100,10,1,1,32,0.9,1,0.001,0.985,0.0005,-226342,"   Woman  Man
0      1    8"
53,100,10,1,1,32,0.9,1,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
54,100,10,1,1,32,0.9,1,0.001,0.995,0.0005,-231736,"   Woman  Man
0      1    8"
55,100,10,1,1,32,0.9,1,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
56,100,10,1,1,32,0.9,0.5,0.1,0.985,0.0005,-246993,"   Woman  Man
0      1    8"
57,100,10,1,1,32,0.9,0.5,0.1,0.985,0.001,-214999,"   Woman  Man
0      1    8"
58,100,10,1,1,32,0.9,0.5,0.1,0.995,0.0005,-208075,"   Woman  Man
0      1    8"
59,100,10,1,1,32,0.9,0.5,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
60,100,10,1,1,32,0.9,0.5,0.001,0.985,0.0005,-232050,"   Woman  Man
0      1    8"
