,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
0,100,10,1,1,16,0.9,1,0.1,0.985,0.0005,-116568,"   Woman  Man
0      1    7"
1,100,10,1,1,16,0.9,1,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
2,100,10,1,1,16,0.9,1,0.1,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
3,100,10,1,1,16,0.9,1,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
4,100,10,1,1,16,0.9,1,0.001,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
5,100,10,1,1,16,0.9,1,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
6,100,10,1,1,16,0.9,1,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
7,100,10,1,1,16,0.9,1,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
8,100,10,1,1,16,0.9,0.5,0.1,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
9,100,10,1,1,16,0.9,0.5,0.1,0.985,0.001,-111568,"   Woman  Man
0      0    8"
10,100,10,1,1,16,0.9,0.5,0.1,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
11,100,10,1,1,16,0.9,0.5,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
12,100,10,1,1,16,0.9,0.5,0.001,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
13,100,10,1,1,16,0.9,0.5,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
14,100,10,1,1,16,0.9,0.5,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
15,100,10,1,1,16,0.9,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
16,100,10,1,1,16,0.95,1,0.1,0.985,0.0005,-106572,"   Woman  Man
0      1    6"
17,100,10,1,1,16,0.95,1,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
18,100,10,1,1,16,0.95,1,0.1,0.995,0.0005,-101572,"   Woman  Man
0      0    7"
19,100,10,1,1,16,0.95,1,0.1,0.995,0.001,-105072,"   Woman  Man
0      0    7"
20,100,10,1,1,16,0.95,1,0.001,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
21,100,10,1,1,16,0.95,1,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
22,100,10,1,1,16,0.95,1,0.001,0.995,0.0005,-115268,"   Woman  Man
0      0    7"
23,100,10,1,1,16,0.95,1,0.001,0.995,0.001,-111568,"   Woman  Man
0      0    8"
24,100,10,1,1,16,0.95,0.5,0.1,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
25,100,10,1,1,16,0.95,0.5,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
26,100,10,1,1,16,0.95,0.5,0.1,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
27,100,10,1,1,16,0.95,0.5,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
28,100,10,1,1,16,0.95,0.5,0.001,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
29,100,10,1,1,16,0.95,0.5,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
30,100,10,1,1,16,0.95,0.5,0.001,0.995,0.0005,-131568,"   Woman  Man
0      1    7"
31,100,10,1,1,16,0.95,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
32,100,10,1,1,16,0.99,1,0.1,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
33,100,10,1,1,16,0.99,1,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
34,100,10,1,1,16,0.99,1,0.1,0.995,0.0005,-116568,"   Woman  Man
0      1    7"
35,100,10,1,1,16,0.99,1,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
36,100,10,1,1,16,0.99,1,0.001,0.985,0.0005,-138526,"   Woman  Man
0      0    7"
37,100,10,1,1,16,0.99,1,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
38,100,10,1,1,16,0.99,1,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
39,100,10,1,1,16,0.99,1,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
40,100,10,1,1,16,0.99,0.5,0.1,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
41,100,10,1,1,16,0.99,0.5,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
42,100,10,1,1,16,0.99,0.5,0.1,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
43,100,10,1,1,16,0.99,0.5,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
44,100,10,1,1,16,0.99,0.5,0.001,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
45,100,10,1,1,16,0.99,0.5,0.001,0.985,0.001,-111568,"   Woman  Man
0      0    8"
46,100,10,1,1,16,0.99,0.5,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
47,100,10,1,1,16,0.99,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
48,100,10,1,1,32,0.9,1,0.1,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
49,100,10,1,1,32,0.9,1,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
50,100,10,1,1,32,0.9,1,0.1,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
51,100,10,1,1,32,0.9,1,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
52,100,10,1,1,32,0.9,1,0.001,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
53,100,10,1,1,32,0.9,1,0.001,0.985,0.001,-105572,"   Woman  Man
0      1    6"
54,100,10,1,1,32,0.9,1,0.001,0.995,0.0005,-105072,"   Woman  Man
0      0    7"
55,100,10,1,1,32,0.9,1,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
56,100,10,1,1,32,0.9,0.5,0.1,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
57,100,10,1,1,32,0.9,0.5,0.1,0.985,0.001,-111568,"   Woman  Man
0      0    8"
58,100,10,1,1,32,0.9,0.5,0.1,0.995,0.0005,-101572,"   Woman  Man
0      0    7"
59,100,10,1,1,32,0.9,0.5,0.1,0.995,0.001,-111568,"   Woman  Man
0      0    8"
60,100,10,1,1,32,0.9,0.5,0.001,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
61,100,10,1,1,32,0.9,0.5,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
62,100,10,1,1,32,0.9,0.5,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
63,100,10,1,1,32,0.9,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
64,100,10,1,1,32,0.95,1,0.1,0.985,0.0005,-111432,"   Woman  Man
0      1    6"
65,100,10,1,1,32,0.95,1,0.1,0.985,0.001,-105572,"   Woman  Man
0      1    6"
66,100,10,1,1,32,0.95,1,0.1,0.995,0.0005,-115568,"   Woman  Man
0      1    7"
67,100,10,1,1,32,0.95,1,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
